Eload,G,T,Vw
0.04,0.0,1.5,6.4
0.04,0.0,1.8,6.300000000000001
0.04,0.0,2.0,5.9
0.04,0.0,2.2,5.6000000000000005
0.04,0.0,2.3000000000000003,5.800000000000001
0.04,0.0,2.5,5.7
0.04,14.912478494821272,2.8000000000000003,5.800000000000001
0.2,31.5793662243274,3.5,6.6000000000000005
0.36,97.36971252500948,4.1000000000000005,6.9
0.36,142.68633387517298,4.2,6.5
0.36,45.614640101806245,4.800000000000001,6.4
0.36,72.8079832394215,5.5,6.2
0.2,35.965389311039544,5.800000000000001,5.2
0.04,415.14526056164146,5.6000000000000005,4.1000000000000005
0.04,177.05269911900493,5.1000000000000005,3.8
