Ppv,Pdg,Pch,Pdch,Pdch_max,Pch_max,Eb,SOC,Pbuy,Psell,Eload,ENS,Edump,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.683778317,0.0,0.683778317,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.4,1.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.592314746,0.0,0.592314746,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.4,1.2000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.555317985,0.0,0.555317985,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.4,1.2000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.54527393,0.0,0.54527393,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.5,1.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.546470916,0.0,0.546470916,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.5,0.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.596501616,0.0,0.596501616,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.5,0.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.805735318,0.0,0.805735318,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.6,0.8
1.194200196981953,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08681640110267486,1.059615788,0.0,-6.899376962435358e-18,1.059615788,0.0638,0.404,1.059615788,148.64359956921453,16.7,0.9
3.193375704857845,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0795071556635314,0.986133521,2.220446049250313e-16,-4.3319572657402166e-16,0.986133521,0.0638,0.404,0.986133521,406.9423182525229,18.4,1.0
4.772907482831378,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.754075911518122,0.827915272,0.0,3.278121780130271e-16,0.827915272,0.0638,0.404,0.827915272,620.9698871684616,20.0,1.0
5.85680554496402,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.809243403165459,0.81328992,0.0,5.379943408114222e-16,0.81328992,0.0638,0.404,0.81328992,773.8028990518943,21.200000000000003,0.9
6.350713955465792,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.2670510592471596,0.829634338,0.0,2.362300948467396e-16,0.829634338,0.0638,0.404,0.829634338,845.0362983639642,21.700000000000003,1.2000000000000002
4.008994010094476,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.033845850690697,0.814788399,2.220446049250313e-16,-4.2664517288295925e-16,0.814788399,0.0638,0.404,0.814788399,520.4388246946065,21.700000000000003,1.7000000000000002
5.680834871871464,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.661565581996605,0.792035895,0.0,2.955561174690237e-16,0.792035895,0.0638,0.404,0.792035895,749.1367632418479,21.200000000000003,2.1
